step,x,y,z
587,1.88901,11.7445,-31.8817
588,1.67897,10.7676,-31.8431
589,0.863171,10.1894,-31.8282
590,1.41723,9.60661,-31.2338
591,2.19462,10.1664,-30.9468
592,1.42332,9.67214,-31.3479
593,1.2065,8.78562,-30.9392
594,0.24174,8.5337,-30.8632
595,0.825924,7.77375,-30.5782
596,0.0774404,8.00129,-29.9553
597,0.269917,7.59239,-29.0633
598,1.00157,8.25583,-28.9066
599,0.154727,8.16471,-28.3826
600,0.798795,7.47953,-28.7228
601,0.541637,6.51393,-28.6843
602,0.219717,6.32048,-27.7575
603,0.228112,5.87849,-28.6545
604,0.69777,6.70524,-28.3448
605,1.16118,6.01765,-28.9038
606,0.337655,5.83002,-29.4391
607,0.34353,5.44327,-30.3613
608,0.660404,5.73605,-31.2635
609,1.50097,6.08654,-31.6765
610,2.03697,5.29313,-31.9649
611,2.85583,4.82775,-31.6289
612,2.33417,4.27477,-32.2786
613,2.30088,5.23786,-32.5458
614,1.6611,5.92367,-32.1988
615,0.85568,5.6547,-32.727
616,0.527388,5.81187,-33.6584
617,1.44039,6.15518,-33.8788
618,0.936394,5.60173,-33.2157
619,0.0289743,5.35272,-33.5542
620,0.0445676,4.75927,-32.7495
621,-0.921866,4.54882,-32.6021
622,-1.81836,4.50149,-32.1616
623,-1.02713,4.79241,-31.6237
624,-0.168393,5.01044,-32.0875
625,0.475946,4.33022,-32.4369
626,1.31571,3.81702,-32.6142
627,1.51327,4.79511,-32.5485
628,0.844039,4.28618,-32.0071
629,1.57264,4.56157,-32.6342
630,0.986142,4.60367,-33.4431
631,1.29751,3.74951,-33.0266
632,0.944164,4.33919,-33.7528
633,0.204657,3.94046,-33.2105
634,0.126576,4.21077,-34.1701
635,1.02502,3.80053,-34.3266
636,0.536808,4.22513,-35.0891
637,1.27807,4.7594,-34.6828
638,0.289956,4.8045,-34.8297
639,0.213446,3.97734,-34.273
640,0.794482,3.17517,-34.4105
641,1.36234,3.9914,-34.3043
642,2.33859,4.20659,-34.3295
643,3.0703,4.53344,-33.7314
644,2.17838,4.78047,-33.3526
645,2.57966,4.05045,-32.7994
646,2.07441,4.74595,-33.3103
647,2.49912,5.60568,-33.5939
648,2.44296,6.55552,-33.9016
649,1.51562,6.77619,-33.5994
650,2.48811,6.9898,-33.5065
651,1.95249,7.36142,-34.2648
652,1.55357,8.24094,-34.0053
653,1.22316,8.99151,-34.5776
654,0.989358,8.93773,-33.6068
655,1.62105,8.16347,-33.6453
656,0.852843,8.80254,-33.6833
657,0.741148,9.5936,-34.2847
658,1.15148,8.9756,-33.6141
659,1.88814,9.65185,-33.6194
660,1.14394,8.98411,-33.6369
661,0.842305,8.94483,-32.6843
662,0.939254,9.12886,-31.7062
663,1.55784,8.71389,-31.039
664,1.73372,9.4269,-30.3602
665,1.77637,10.4256,-30.3879
666,1.43819,9.91765,-29.5957
667,1.63439,9.01644,-29.2093
668,2.14015,9.68866,-29.75
669,1.88698,10.4134,-30.3908
670,2.87026,10.5955,-30.3911
671,3.32619,9.87091,-29.8742
672,3.74131,9.24292,-29.216
673,4.12199,9.07355,-28.3069
674,3.81583,9.76971,-28.9562
675,3.35724,10.2534,-29.7017
676,3.8384,9.60497,-30.2916
677,3.32647,9.88307,-31.1043
678,2.39097,9.76476,-30.7714
679,1.62303,9.36134,-31.2689
680,0.783,9.09925,-31.744
681,1.01761,8.33201,-32.3409
682,0.90565,8.61528,-33.2933
683,0.930248,9.28143,-32.5479
684,1.24369,8.57673,-33.1845
685,0.552881,8.46655,-33.899
686,0.287079,7.50615,-33.8156
687,-0.0601389,7.66159,-32.8908
688,-0.133965,6.70686,-33.1789
689,-0.020087,6.973,-32.2217
690,0.11361,6.06318,-31.8289
691,0.587967,6.8856,-31.5149
692,0.433392,7.81204,-31.8581
693,0.729055,8.31728,-31.0474
694,0.564494,8.84363,-31.8815
695,1.14995,9.38108,-32.4885
696,2.02073,9.20871,-32.028
697,1.57441,9.8566,-32.6453
698,0.621874,9.93344,-32.9399
699,0.418713,10.5928,-32.216
700,-0.213674,10.062,-32.7802
701,-0.0627113,9.44335,-33.5512
702,-0.490843,8.86817,-34.2483
703,-0.527055,8.3043,-33.4232
704,0.399335,7.97299,-33.6022
705,-0.130647,8.25513,-32.8025
706,0.204561,7.93875,-33.69
707,0.559989,8.87226,-33.6428
708,0.123646,9.48916,-32.9878
709,0.0303984,8.54444,-32.6735
710,0.079744,7.54601,-32.6469
711,0.364133,6.69803,-32.1997
712,-0.389491,6.61634,-31.5474
713,-1.28318,6.87965,-31.9107
714,-0.458162,7.0088,-31.3606
715,-0.15423,6.11712,-31.6961
716,0.378715,6.95971,-31.6185
717,0.42183,7.94749,-31.4687
718,0.307418,8.67477,-30.792
719,0.482178,9.25605,-29.9973
720,0.153403,8.54491,-29.3759
721,-0.410799,9.07747,-28.7449
722,-1.01438,8.31631,-28.9823
723,-1.96808,8.4578,-28.7168
724,-1.50364,7.94926,-29.4419
725,-1.96635,8.10186,-30.3152
726,-2.88096,8.14164,-29.9128
727,-2.83606,9.09792,-30.2018
728,-3.69344,8.62567,-29.9971
729,-3.14349,8.73424,-29.169
730,-2.38175,9.30677,-28.8657
731,-1.4247,9.06008,-29.0181
732,-2.14304,9.36031,-28.3905
733,-2.89044,10.0224,-28.4452
734,-3.48593,10.8095,-28.2844
735,-4.20173,10.2043,-27.936
736,-4.92876,10.1863,-27.2497
737,-4.34286,10.881,-27.667
738,-5.10788,11.3251,-28.1334
739,-5.86061,11.9199,-28.4156
740,-5.12895,11.8307,-29.0914
741,-4.21601,11.698,-29.4773
742,-4.86593,11.9469,-28.7592
743,-5.31571,12.2707,-29.5916
744,-4.56063,11.6348,-29.4318
745,-4.95253,12.3667,-28.8744
746,-4.92619,13.1477,-28.2504
747,-5.2752,13.9459,-27.7594
748,-5.23547,13.1766,-28.3971
749,-4.44275,13.4402,-28.9468
750,-3.68258,13.4052,-28.298
751,-2.85928,13.9695,-28.3598
752,-3.21765,14.7741,-28.8333
753,-2.52975,15.4454,-29.1091
754,-1.87377,14.932,-28.5559
755,-2.40559,14.09,-28.465
756,-2.00253,14.8857,-28.9172
757,-2.1864,15.2317,-29.8372
758,-1.47722,14.6119,-29.5012
759,-2.32546,14.1517,-29.7632
760,-3.18814,14.0578,-29.2662
761,-2.46768,13.7839,-29.9033
762,-2.8823,14.6873,-29.7944
763,-2.82982,13.7206,-30.0446
764,-2.64431,12.8774,-30.5492
765,-3.44425,13.2882,-30.1118
766,-4.0459,12.4899,-30.1402
767,-3.84045,12.7095,-29.1864
768,-4.44717,13.3906,-29.5964
769,-3.64461,13.9839,-29.5341
770,-2.90684,14.6494,-29.6471
771,-3.43109,15.5009,-29.6384
772,-3.62949,16.4079,-30.0101
773,-3.03211,15.6409,-30.2444
774,-3.88448,15.917,-30.6885
