step,distance,error
1015,31.8465,0.0120362
1016,31.863,0.0121074
1017,31.8793,0.0121897
1018,31.8942,0.0121066
1019,31.9106,0.0120692
1020,31.927,0.0119738
1021,31.9425,0.011993
1022,31.9588,0.0119657
1023,31.9746,0.0119606
1024,31.9905,0.0119163
1025,32.0068,0.0119221
1026,32.0226,0.0119677
1027,32.0381,0.0119906
1028,32.0541,0.0119482
1029,32.0692,0.0120095
1030,32.0853,0.0121393
1031,32.101,0.0121836
1032,32.1161,0.012155
1033,32.1317,0.0123241
1034,32.1483,0.0123479
1035,32.1634,0.0123795
1036,32.178,0.0123793
1037,32.1927,0.0123587
1038,32.2093,0.0123309
1039,32.2246,0.0123508
1040,32.2398,0.0124006
1041,32.2544,0.0123059
1042,32.2703,0.0124099
1043,32.285,0.0125083
1044,32.3002,0.0125308
1045,32.3164,0.012498
1046,32.331,0.0123997
1047,32.3467,0.0124867
1048,32.362,0.0124993
1049,32.3769,0.0124982
1050,32.3927,0.0124813
1051,32.4094,0.0124801
1052,32.4255,0.0125794
1053,32.4405,0.012686
1054,32.4559,0.0127351
1055,32.472,0.0127986
1056,32.4862,0.0128805
1057,32.5003,0.0129092
1058,32.5162,0.0128982
1059,32.5307,0.0128905
1060,32.5449,0.0128852
1061,32.5605,0.0128865
1062,32.5757,0.012791
1063,32.5909,0.0127003
1064,32.6067,0.0126917
1065,32.6219,0.0126767
1066,32.6369,0.0127354
1067,32.6522,0.0126709
1068,32.6673,0.0126249
1069,32.6825,0.0126639
1070,32.6988,0.0126379
1071,32.7146,0.012761
1072,32.7308,0.012756
1073,32.747,0.0127011
1074,32.7634,0.012802
1075,32.7794,0.0128375
1076,32.7941,0.0128106
1077,32.8091,0.0128041
1078,32.8243,0.0127218
1079,32.8395,0.012787
1080,32.8547,0.012855
