step,distance,error
778,27.8848,0.0110683
779,27.9028,0.0110611
780,27.9218,0.0110033
781,27.9398,0.0109956
782,27.9578,0.0110689
783,27.9746,0.011031
784,27.992,0.0110319
785,28.0104,0.0109842
786,28.0283,0.0109628
787,28.045,0.0109576
788,28.0625,0.0109821
789,28.0803,0.0110778
790,28.0983,0.0111108
791,28.1166,0.0112407
792,28.1337,0.0113142
793,28.1506,0.0113322
794,28.1694,0.0113083
795,28.1877,0.0113789
796,28.205,0.0112789
797,28.2229,0.0113298
798,28.2402,0.0113949
799,28.2578,0.0114242
800,28.2759,0.0113363
801,28.2938,0.0112426
802,28.311,0.01139
803,28.3288,0.0114009
804,28.3462,0.0113521
805,28.3645,0.0113589
806,28.3816,0.0113773
807,28.3983,0.0114468
808,28.4166,0.0114678
809,28.4342,0.0114434
810,28.4519,0.0113983
811,28.4688,0.0114624
812,28.4864,0.0114388
813,28.504,0.0114198
814,28.522,0.0115434
815,28.5398,0.0114334
816,28.5572,0.011446
817,28.5751,0.0114625
818,28.5916,0.0114736
819,28.6092,0.0114748
820,28.627,0.011551
821,28.6437,0.0116007
822,28.6609,0.0117009
823,28.6786,0.0116682
824,28.695,0.011659
825,28.7124,0.0116105
826,28.7297,0.0116121
827,28.7471,0.0115906
828,28.7647,0.0115761
829,28.7825,0.0116489
830,28.7994,0.0116096
831,28.8159,0.0117094
832,28.8332,0.0116757
833,28.8515,0.0116872
834,28.8691,0.0116567
835,28.8863,0.0117179
836,28.9032,0.0116898
837,28.9207,0.0116144
838,28.9377,0.0116783
839,28.9553,0.0117059
840,28.9725,0.0117242
841,28.9898,0.0117847
842,29.0068,0.0116947
843,29.0247,0.0117953
844,29.0411,0.0118654
845,29.059,0.0117383
846,29.0763,0.0116807
847,29.0941,0.0117286
848,29.1108,0.0117388
849,29.1273,0.0117373
850,29.1444,0.0117464
851,29.1615,0.0117017
852,29.1791,0.0117643
853,29.1951,0.0118063
854,29.2125,0.0117312
855,29.2303,0.011776
856,29.247,0.0118082
857,29.2631,0.0117373
858,29.2798,0.0117683
859,29.2969,0.0117125
860,29.3135,0.0117181
861,29.3316,0.0117645
862,29.3488,0.011816
863,29.366,0.0118214
864,29.3829,0.0118195
865,29.4005,0.0118534
866,29.4164,0.011754
867,29.4333,0.0117848
868,29.4512,0.0117545
869,29.4686,0.0117578
870,29.4854,0.0117473
871,29.5022,0.0117555
872,29.5192,0.0117747
873,29.5354,0.0118427
874,29.5517,0.0118655
875,29.5679,0.0118099
876,29.5841,0.0117388
877,29.601,0.0117946
878,29.618,0.0118286
879,29.6349,0.0118613
880,29.652,0.0119074
881,29.669,0.0118777
882,29.6857,0.0119291
883,29.7027,0.0120157
884,29.7196,0.0120436
885,29.7363,0.0120853
886,29.7531,0.0120476
887,29.7707,0.0120111
888,29.789,0.0119931
889,29.8068,0.0119314
890,29.8237,0.0118775
891,29.8404,0.0118836
892,29.8569,0.0118975
893,29.8733,0.0118027
894,29.8901,0.0117911
895,29.9055,0.0118249
896,29.9227,0.0118811
897,29.9393,0.0118816
898,29.9552,0.0118582
899,29.9711,0.0118698
900,29.9881,0.0119318
901,30.0034,0.0119026
902,30.0189,0.0119582
903,30.0351,0.0118786
904,30.0521,0.0119022
905,30.0691,0.0119341
906,30.0861,0.0118831
907,30.1025,0.0118787
908,30.1181,0.0117787
909,30.1342,0.0118238
910,30.1505,0.0119374
911,30.1667,0.012059
912,30.1836,0.0120437
913,30.2006,0.0120323
914,30.2179,0.0120741
915,30.2352,0.0120253
916,30.2516,0.0120001
917,30.2684,0.012081
918,30.2862,0.0121339
919,30.3029,0.0120786
920,30.3191,0.0120902
921,30.3356,0.0120979
922,30.3524,0.0121697
923,30.369,0.0121479
924,30.3856,0.0121737
925,30.4016,0.0121699
926,30.4187,0.0121626
927,30.4348,0.0121743
928,30.4513,0.0122972
929,30.4679,0.0122361
930,30.4843,0.0122998
931,30.4993,0.012325
932,30.5148,0.0123328
933,30.5308,0.0123387
934,30.5471,0.0123775
935,30.5636,0.0123827
936,30.5794,0.0123359
937,30.5961,0.0123715
938,30.612,0.0123479
939,30.6287,0.0124133
940,30.6455,0.0124089
941,30.6625,0.0123743
942,30.679,0.0124072
943,30.6948,0.0124484
944,30.7099,0.0124377
945,30.7253,0.0124275
946,30.7414,0.0124545
947,30.7572,0.0123793
948,30.7732,0.0124322
949,30.7895,0.0124615
950,30.8058,0.0125345
951,30.822,0.0125568
952,30.8375,0.0124903
953,30.8541,0.0124522
954,30.8699,0.0124849
955,30.8859,0.0124371
956,30.9024,0.012339
957,30.9187,0.0124061
958,30.936,0.0124286
959,30.9522,0.0124966
960,30.9682,0.0125011
961,30.9848,0.0125514
962,31.0013,0.0125452
963,31.0171,0.01256
964,31.0327,0.0124981
965,31.0491,0.0125527
966,31.0658,0.012519
967,31.0825,0.0125919
968,31.0984,0.0126165
969,31.1147,0.012615
970,31.13,0.012644
971,31.146,0.0125966
972,31.1627,0.0126444
973,31.1789,0.0126231
974,31.1946,0.0127088
975,31.2099,0.0127004
976,31.2258,0.0126422
977,31.2415,0.0126389
978,31.2576,0.012559
979,31.2736,0.0125275
980,31.2891,0.0125998
981,31.3054,0.0125328
982,31.321,0.0124937
983,31.3365,0.012504
984,31.3521,0.0126038
985,31.3683,0.0125464
986,31.3844,0.0125244
987,31.4002,0.0124638
988,31.416,0.0124285
989,31.4316,0.0123791
990,31.4478,0.0124338
991,31.463,0.0125018
992,31.4783,0.012483
993,31.4943,0.0125151
994,31.5099,0.0126218
995,31.5252,0.0127117
996,31.5419,0.0127202
997,31.5578,0.0126685
998,31.5734,0.0126938
999,31.5899,0.012587
1000,31.6051,0.0126187
1001,31.6205,0.0126724
1002,31.6364,0.012618
1003,31.6518,0.0126336
1004,31.6684,0.0126888
1005,31.6849,0.0126776
1006,31.7002,0.0127366
1007,31.7159,0.0127892
1008,31.7314,0.0127235
1009,31.7477,0.0127275
1010,31.7642,0.0126742
1011,31.7805,0.0125577
1012,31.7972,0.0124671
1013,31.813,0.0124731
1014,31.8275,0.0125178
1015,31.8443,0.0124331
1016,31.8599,0.0124472
1017,31.875,0.0123738
1018,31.8914,0.0122965
1019,31.9069,0.0123144
1020,31.9226,0.0123137
1021,31.9381,0.0123049
1022,31.9529,0.0123033
1023,31.9676,0.0123116
1024,31.9836,0.0123056
1025,31.9996,0.0124001
1026,32.0145,0.012411
1027,32.0303,0.0123936
1028,32.0464,0.0124479
1029,32.0627,0.0124019
1030,32.0781,0.0123483
1031,32.0924,0.0123177
1032,32.1079,0.0124291
1033,32.1236,0.0124209
1034,32.1393,0.0124926
1035,32.1546,0.01249
