step,x,y,z
739,-12,10,15
740,-11,10,15
741,-12,10,15
742,-12,11,15
743,-12,11,14
744,-13,11,14
745,-12,11,14
746,-12,11,15
747,-11,11,15
748,-10,11,15
749,-9,11,15
750,-9,11,16
751,-9,11,17
752,-9,10,17
753,-9,11,17
754,-9,11,18
755,-9,12,18
756,-9,13,18
757,-10,13,18
758,-10,13,17
759,-10,13,18
760,-9,13,18
761,-9,12,18
762,-10,12,18
763,-11,12,18
764,-10,12,18
765,-10,13,18
766,-11,13,18
767,-11,12,18
768,-11,12,17
769,-10,12,17
770,-11,12,17
771,-11,13,17
772,-10,13,17
773,-10,12,17
774,-9,12,17
775,-8,12,17
776,-8,11,17
777,-7,11,17
778,-6,11,17
779,-6,10,17
780,-6,11,17
781,-6,10,17
782,-6,10,18
783,-5,10,18
784,-4,10,18
785,-5,10,18
786,-6,10,18
787,-7,10,18
788,-7,11,18
789,-7,11,17
790,-8,11,17
791,-8,11,18
792,-9,11,18
793,-9,10,18
794,-9,11,18
795,-10,11,18
796,-9,11,18
797,-9,10,18
798,-9,9,18
799,-9,9,19
800,-8,9,19
801,-9,9,19
802,-10,9,19
803,-10,10,19
804,-9,10,19
805,-10,10,19
806,-9,10,19
807,-9,9,19
808,-9,9,20
809,-9,10,20
810,-9,10,19
811,-10,10,19
812,-10,10,18
813,-9,10,18
814,-9,10,17
815,-9,9,17
816,-9,9,18
817,-9,8,18
818,-8,8,18
819,-8,9,18
820,-8,10,18
821,-9,10,18
822,-10,10,18
823,-10,10,19
824,-10,11,19
825,-10,11,18
826,-11,11,18
827,-12,11,18
828,-11,11,18
829,-11,10,18
830,-12,10,18
831,-12,10,19
832,-11,10,19
833,-11,10,18
834,-11,11,18
835,-11,11,19
836,-10,11,19
837,-10,11,20
838,-10,11,21
839,-11,11,21
840,-11,11,20
841,-11,11,21
842,-11,11,20
843,-10,11,20
844,-10,10,20
845,-10,10,21
846,-10,10,20
847,-9,10,20
848,-9,10,21
849,-9,10,20
850,-9,9,20
851,-9,8,20
852,-10,8,20
853,-10,7,20
854,-10,6,20
855,-10,6,19
856,-11,6,19
857,-11,6,20
858,-11,6,21
859,-10,6,21
860,-10,7,21
861,-10,8,21
862,-10,7,21
863,-10,8,21
864,-10,9,21
865,-10,9,22
866,-11,9,22
867,-11,10,22
868,-11,9,22
869,-11,10,22
870,-11,10,21
871,-11,10,22
872,-11,9,22
873,-10,9,22
874,-10,9,21
875,-9,9,21
876,-9,9,20
877,-9,9,19
878,-9,10,19
879,-9,9,19
880,-8,9,19
881,-8,10,19
882,-8,11,19
883,-8,11,18
884,-9,11,18
885,-9,11,19
886,-9,11,18
887,-9,10,18
888,-9,10,17
889,-9,11,17
890,-9,10,17
891,-9,10,16
892,-8,10,16
893,-8,10,17
894,-8,11,17
895,-8,10,17
896,-7,10,17
897,-6,10,17
898,-6,11,17
899,-7,11,17
900,-7,11,18
901,-6,11,18
902,-6,11,19
903,-6,10,19
904,-6,10,20
905,-6,11,20
906,-6,11,19
907,-5,11,19
908,-5,10,19
909,-5,10,20
910,-5,10,19
911,-5,11,19
912,-5,12,19
913,-5,12,18
914,-5,12,17
915,-5,13,17
916,-5,12,17
917,-5,11,17
918,-4,11,17
919,-4,12,17
920,-4,12,18
921,-4,11,18
922,-5,11,18
923,-6,11,18
924,-6,10,18
925,-6,11,18
926,-6,11,17
927,-6,11,18
928,-6,10,18
929,-5,10,18
930,-5,11,18
931,-5,10,18
932,-5,11,18
933,-5,12,18
934,-5,11,18
935,-5,12,18
936,-5,12,17
937,-5,12,16
938,-5,11,16
939,-5,10,16
940,-5,10,15
941,-5,11,15
942,-6,11,15
943,-6,12,15
944,-6,12,14
945,-6,11,14
946,-5,11,14
947,-5,11,15
948,-6,11,15
949,-5,11,15
950,-4,11,15
951,-4,12,15
952,-4,12,14
953,-4,11,14
954,-5,11,14
955,-6,11,14
956,-6,10,14
957,-6,10,13
958,-7,10,13
959,-6,10,13
960,-6,9,13
961,-7,9,13
962,-8,9,13
963,-8,8,13
964,-8,8,12
965,-8,8,11
966,-8,7,11
967,-8,7,12
968,-8,7,11
969,-8,7,12
970,-8,8,12
971,-9,8,12
972,-10,8,12
973,-11,8,12
974,-11,9,12
975,-12,9,12
976,-13,9,12
977,-13,10,12
978,-12,10,12
979,-12,10,11
980,-11,10,11
981,-11,11,11
982,-11,10,11
983,-11,10,12
984,-11,10,13
985,-12,10,13
986,-12,9,13
987,-12,8,13
988,-13,8,13
989,-14,8,13
990,-14,9,13
991,-14,10,13
992,-14,10,14
993,-15,10,14
994,-15,10,13
995,-15,10,12
996,-16,10,12
997,-15,10,12
998,-16,10,12
999,-15,10,12
1000,-15,9,12
1001,-15,8,12
1002,-15,9,12
1003,-15,9,13
1004,-14,9,13
1005,-15,9,13
1006,-15,8,13
1007,-15,7,13
1008,-15,6,13
1009,-15,6,14
1010,-16,6,14
1011,-17,6,14
1012,-17,6,13
1013,-18,6,13
1014,-17,6,13
1015,-17,7,13
1016,-17,7,14
1017,-17,7,15
1018,-17,7,14
1019,-17,6,14
1020,-18,6,14
1021,-18,6,15
1022,-19,6,15
1023,-19,6,16
1024,-19,6,17
1025,-19,6,18
1026,-19,6,19
1027,-19,6,18
1028,-19,5,18
1029,-19,5,17
1030,-19,5,16
1031,-19,4,16
1032,-19,4,15
1033,-18,4,15
1034,-18,3,15
1035,-18,3,14
1036,-18,3,13
1037,-17,3,13
1038,-16,3,13
1039,-16,4,13
1040,-16,3,13
1041,-16,3,14
1042,-17,3,14
1043,-17,3,13
1044,-17,3,14
1045,-17,4,14
1046,-17,4,13
1047,-17,4,14
1048,-17,5,14
1049,-17,5,15
1050,-17,5,14
1051,-16,5,14
1052,-16,5,13
1053,-17,5,13
1054,-17,4,13
1055,-17,4,14
1056,-17,3,14
1057,-17,3,13
1058,-18,3,13
1059,-19,3,13
1060,-20,3,13
1061,-21,3,13
1062,-22,3,13
1063,-21,3,13
1064,-21,3,14
1065,-22,3,14
1066,-23,3,14
1067,-24,3,14
1068,-25,3,14
1069,-26,3,14
1070,-26,3,13
1071,-26,3,12
1072,-26,2,12
1073,-26,3,12
1074,-26,3,11
1075,-26,2,11
1076,-25,2,11
1077,-24,2,11
1078,-23,2,11
1079,-24,2,11
1080,-24,2,12
1081,-24,2,13
1082,-24,2,12
1083,-24,2,13
1084,-24,3,13
1085,-23,3,13
1086,-23,3,14
1087,-23,3,13
1088,-23,3,12
1089,-24,3,12
1090,-25,3,12
1091,-25,4,12
1092,-25,4,11
1093,-24,4,11
1094,-25,4,11
1095,-25,3,11
1096,-24,3,11
1097,-24,4,11
1098,-25,4,11
1099,-25,4,10
1100,-24,4,10
1101,-24,4,9
1102,-24,4,10
1103,-24,5,10
1104,-24,5,11
1105,-23,5,11
1106,-23,6,11
1107,-23,6,12
1108,-23,6,11
1109,-24,6,11
1110,-24,6,12
1111,-24,6,13
1112,-24,7,13
1113,-24,7,12
1114,-24,7,13
1115,-24,8,13
1116,-24,7,13
1117,-24,8,13
1118,-25,8,13
1119,-25,9,13
1120,-25,9,14
1121,-25,10,14
1122,-25,11,14
1123,-25,10,14
1124,-26,10,14
1125,-26,9,14
1126,-26,8,14
1127,-26,8,15
1128,-26,8,14
1129,-26,8,15
1130,-26,7,15
1131,-26,6,15
1132,-26,7,15
1133,-26,7,16
1134,-26,8,16
1135,-26,8,15
1136,-25,8,15
1137,-24,8,15
1138,-24,7,15
1139,-24,6,15
1140,-24,5,15
1141,-24,4,15
1142,-24,4,14
1143,-24,4,15
1144,-23,4,15
1145,-23,3,15
1146,-23,3,16
1147,-24,3,16
1148,-24,3,15
1149,-24,3,14
1150,-23,3,14
1151,-23,3,15
1152,-23,3,16
1153,-23,4,16
1154,-23,5,16
1155,-23,4,16
1156,-23,4,17
1157,-24,4,17
1158,-23,4,17
1159,-24,4,17
1160,-25,4,17
1161,-24,4,17
1162,-24,4,16
1163,-24,3,16
1164,-23,3,16
1165,-23,4,16
1166,-23,4,17
1167,-24,4,17
1168,-24,4,16
1169,-24,4,17
1170,-24,5,17
1171,-24,6,17
1172,-25,6,17
1173,-26,6,17
1174,-26,7,17
1175,-26,7,18
1176,-26,7,19
1177,-26,8,19
1178,-26,8,18
1179,-27,8,18
1180,-27,9,18
1181,-27,9,19
1182,-27,8,19
1183,-27,7,19
1184,-28,7,19
1185,-29,7,19
1186,-29,6,19
1187,-29,5,19
1188,-30,5,19
1189,-30,4,19
1190,-30,5,19
1191,-30,5,18
1192,-30,5,19
1193,-30,5,20
1194,-30,5,19
1195,-30,5,20
1196,-30,6,20
1197,-30,6,21
1198,-31,6,21
1199,-31,5,21
1200,-32,5,21
1201,-32,6,21
1202,-33,6,21
1203,-33,5,21
1204,-32,5,21
1205,-32,6,21
1206,-32,5,21
1207,-32,5,20
1208,-32,5,21
1209,-32,5,22
1210,-33,5,22
1211,-33,6,22
1212,-33,6,21
1213,-33,6,20
1214,-34,6,20
1215,-33,6,20
1216,-32,6,20
1217,-32,6,21
1218,-33,6,21
1219,-34,6,21
1220,-35,6,21
1221,-35,7,21
1222,-35,8,21
1223,-34,8,21
1224,-35,8,21
1225,-36,8,21
1226,-36,7,21
1227,-36,7,22
1228,-36,7,21
1229,-36,7,20
1230,-36,7,19
1231,-36,8,19
1232,-36,9,19
1233,-36,8,19
1234,-37,8,19
1235,-38,8,19
1236,-39,8,19
1237,-38,8,19
1238,-38,7,19
1239,-38,7,20
