generation,path_1
916,140.286
917,140.286
918,140.286
919,140.286
920,140.286
921,140.286
922,140.286
923,140.286
924,140.286
925,140.286
926,140.286
927,140.286
928,140.286
929,140.286
930,140.286
931,140.286
932,140.286
933,140.286
934,140.286
935,140.286
936,140.286
937,140.286
938,140.286
939,140.286
940,140.286
941,140.286
942,140.286
943,140.286
944,140.022
945,140.022
946,140.022
947,140.022
948,140.022
949,140.022
950,140.022
951,139.585
952,139.147
953,138.624
954,138.624
955,138.624
956,138.624
957,138.624
958,138.624
959,138.624
960,138.624
961,138.624
962,138.624
963,138.624
964,138.624
965,138.558
966,138.558
967,138.558
968,138.558
969,138.558
970,138.558
971,138.558
972,138.558
973,138.558
974,138.558
975,138.558
976,138.558
977,138.558
978,138.558
979,138.558
980,138.558
981,138.558
982,138.558
983,138.558
984,138.558
985,138.558
986,138.558
987,138.558
988,138.558
989,138.558
990,138.558
991,138.558
992,138.558
993,138.558
994,138.558
995,138.558
996,138.558
997,138.558
998,138.558
999,138.558
1000,138.558
1001,138.558
1002,138.558
1003,138.558
1004,137.571
1005,136.347
1006,136.347
1007,136.347
1008,136.347
1009,136.347
1010,136.347
1011,136.347
1012,136.347
1013,136.347
1014,136.347
1015,136.347
1016,136.347
1017,136.347
1018,136.347
1019,136.347
1020,136.347
1021,136.347
1022,136.347
1023,136.347
1024,136.347
1025,136.347
1026,136.347
1027,136.347
1028,136.347
1029,136.347
1030,136.347
1031,136.347
1032,136.347
1033,136.347
1034,136.347
1035,136.347
1036,136.347
1037,132.868
1038,132.868
1039,132.868
1040,132.868
1041,132.868
1042,132.868
1043,132.868
1044,132.868
1045,132.868
1046,132.868
1047,132.868
1048,132.868
1049,132.868
1050,132.868
1051,132.868
1052,132.868
1053,132.868
1054,132.868
1055,132.868
1056,132.868
1057,132.868
1058,132.868
1059,132.868
1060,132.868
1061,132.868
1062,132.868
1063,132.868
1064,132.868
1065,132.868
1066,132.868
1067,132.868
1068,132.868
1069,132.868
1070,132.868
1071,132.868
1072,132.868
1073,132.868
1074,132.868
1075,132.868
1076,132.868
1077,132.868
1078,132.868
1079,132.868
1080,132.868
1081,132.868
1082,132.868
1083,132.868
1084,132.868
1085,132.868
1086,132.868
1087,132.868
1088,132.868
1089,132.868
1090,132.868
1091,132.868
1092,132.868
1093,132.868
1094,132.868
1095,132.868
1096,132.868
1097,132.868
1098,132.868
1099,132.868
1100,132.868
1101,132.868
1102,132.868
1103,132.868
1104,132.868
1105,132.868
1106,132.868
1107,132.868
1108,132.868
1109,132.868
1110,132.868
1111,132.868
1112,132.868
1113,132.868
1114,132.868
1115,132.868
1116,132.868
1117,132.868
1118,132.868
1119,131.866
1120,131.866
1121,131.866
1122,131.866
1123,131.866
1124,131.866
1125,131.671
1126,131.671
1127,131.671
1128,131.671
1129,131.671
1130,130.721
1131,130.721
1132,130.721
1133,130.721
1134,130.721
1135,130.721
1136,130.721
1137,130.721
1138,130.721
1139,130.721
1140,130.721
1141,130.721
1142,130.721
1143,130.721
1144,130.721
1145,130.721
1146,130.721
1147,130.721
1148,130.721
1149,130.721
1150,130.721
1151,130.721
1152,130.721
1153,130.721
1154,130.721
1155,130.721
1156,130.721
1157,130.721
1158,130.721
1159,130.721
1160,130.721
1161,130.721
1162,130.721
1163,130.721
1164,130.721
1165,130.721
1166,130.721
1167,130.721
1168,130.721
1169,130.721
1170,130.721
1171,130.721
1172,130.721
1173,130.721
1174,130.721
1175,130.721
1176,130.721
1177,130.721
1178,130.721
1179,130.721
1180,130.721
1181,130.721
1182,130.721
1183,129.926
1184,129.926
1185,129.926
1186,129.926
1187,129.926
1188,129.926
1189,129.926
1190,129.926
1191,129.926
1192,129.926
1193,129.926
1194,129.926
1195,129.926
1196,129.926
1197,129.926
1198,129.926
1199,129.926
1200,129.926
1201,129.926
1202,129.926
1203,130.401
1204,130.401
1205,130.401
1206,130.576
1207,130.576
1208,130.576
1209,130.468
1210,130.468
1211,130.468
1212,130.468
1213,130.468
1214,129.833
1215,129.833
1216,129.077
1217,129.077
1218,129.077
1219,129.077
1220,129.077
1221,129.077
1222,129.077
1223,129.077
1224,129.077
1225,129.077
1226,129.077
1227,129.077
1228,128.528
1229,128.239
1230,128.239
1231,128.239
1232,128.239
1233,128.239
1234,128.239
1235,128.239
1236,128.239
1237,128.239
1238,128.239
1239,128.239
1240,128.239
1241,128.239
1242,128.239
1243,128.239
1244,128.239
1245,128.239
1246,128.239
1247,128.239
1248,128.239
1249,128.239
1250,128.239
1251,128.239
1252,128.239
1253,128.239
1254,128.239
1255,128.239
1256,128.239
1257,128.239
1258,128.239
1259,128.239
1260,128.239
1261,128.239
1262,128.239
1263,128.239
1264,128.239
1265,128.239
1266,128.239
1267,128.239
1268,128.239
1269,128.239
1270,128.239
1271,128.239
1272,128.239
1273,128.239
1274,128.239
1275,128.239
1276,128.239
1277,128.239
1278,128.239
1279,128.239
1280,128.239
1281,128.239
1282,128.476
1283,128.476
1284,128.476
1285,128.476
1286,128.476
1287,128.476
1288,128.476
1289,128.476
1290,128.476
1291,128.476
1292,128.476
1293,128.476
1294,128.476
1295,128.476
1296,128.476
1297,128.476
1298,128.476
1299,128.476
1300,128.476
1301,128.476
1302,128.476
1303,128.476
1304,128.476
1305,128.476
1306,128.476
1307,127.793
1308,127.793
1309,127.793
1310,127.793
1311,127.793
1312,127.793
1313,127.793
1314,127.793
1315,127.793
1316,127.793
1317,127.793
1318,127.793
1319,127.793
1320,127.793
1321,127.793
1322,127.793
1323,127.793
1324,127.793
1325,127.793
1326,127.793
1327,127.793
1328,127.793
1329,127.793
1330,127.642
1331,127.642
1332,127.642
1333,127.642
1334,127.642
1335,127.642
1336,127.642
1337,127.642
1338,127.435
1339,127.435
1340,127.435
1341,127.435
1342,127.435
1343,127.435
1344,127.435
1345,127.435
1346,127.435
1347,127.435
1348,127.435
1349,127.435
1350,127.435
1351,127.435
1352,127.435
1353,127.435
1354,127.435
1355,127.435
1356,127.435
1357,127.435
1358,127.435
1359,127.435
1360,127.435
1361,127.435
1362,127.435
1363,127.435
1364,127.435
1365,127.435
1366,127.435
1367,127.435
1368,127.435
1369,127.435
1370,126.805
1371,126.805
1372,126.805
1373,126.805
1374,126.805
1375,126.805
1376,126.573
1377,126.573
1378,126.573
1379,126.573
1380,126.573
1381,126.573
1382,126.573
1383,126.573
1384,126.573
1385,126.573
1386,126.573
1387,126.573
1388,126.573
1389,126.573
1390,126.573
1391,126.573
1392,126.573
1393,126.573
1394,126.573
1395,126.573
1396,126.573
1397,126.573
1398,126.573
1399,125.089
1400,125.089
1401,125.089
1402,125.089
1403,125.089
1404,125.57
1405,125.57
1406,125.57
1407,125.57
1408,125.57
1409,125.57
1410,125.57
1411,125.57
1412,125.57
1413,125.57
1414,125.57
1415,125.57
1416,125.57
1417,125.57
1418,125.57
1419,125.57
1420,125.09
1421,125.09
1422,125.09
1423,125.09
1424,125.09
1425,125.09
1426,125.09
1427,125.09
1428,125.09
1429,124.931
1430,124.931
1431,124.931
1432,124.931
1433,124.931
1434,124.931
1435,124.931
1436,124.931
1437,124.931
1438,124.931
1439,124.931
1440,124.931
1441,124.931
1442,124.931
1443,124.931
1444,124.931
1445,124.931
1446,124.931
1447,124.164
1448,123.929
1449,123.929
1450,123.929
1451,122.117
1452,122.117
1453,122.117
1454,122.117
1455,122.117
1456,122.117
1457,122.117
1458,122.117
1459,122.117
1460,122.117
1461,122.117
1462,122.117
1463,122.117
1464,122.117
1465,122.117
1466,122.117
1467,122.117
1468,122.117
1469,122.117
1470,122.117
1471,122.117
1472,122.117
1473,122.117
1474,122.117
1475,121.557
1476,121.557
1477,121.557
1478,121.557
1479,121.557
1480,121.557
1481,121.557
1482,121.557
1483,121.557
1484,121.557
1485,121.557
1486,121.557
1487,121.138
1488,121.138
1489,121.138
1490,121.138
1491,121.138
1492,121.138
1493,121.138
1494,121.138
1495,121.138
1496,121.138
1497,121.138
1498,121.138
1499,121.138
1500,121.138
1501,121.138
1502,121.138
1503,121.138
1504,121.138
1505,121.138
1506,121.138
1507,121.138
1508,121.138
1509,121.138
1510,121.138
1511,121.138
1512,121.138
1513,121.138
1514,121.138
1515,121.138
1516,121.138
1517,121.138
1518,121.138
1519,121.138
1520,121.138
1521,121.138
1522,121.138
1523,121.138
1524,121.138
1525,121.138
1526,121.138
1527,120.225
1528,118.195
1529,118.195
1530,118.195
1531,118.195
1532,118.195
1533,118.195
1534,118.195
1535,118.195
1536,118.195
1537,118.195
1538,118.195
1539,118.195
1540,118.195
1541,118.195
1542,118.195
1543,118.195
1544,118.195
1545,118.195
1546,118.195
1547,118.195
1548,118.195
1549,118.195
1550,118.195
1551,118.195
1552,118.195
1553,118.195
1554,118.195
1555,118.195
1556,118.195
1557,118.195
1558,118.195
1559,118.195
1560,118.195
1561,118.086
1562,118.086
1563,118.086
1564,118.086
1565,118.086
1566,118.086
1567,118.086
1568,118.086
1569,118.086
1570,118.086
1571,118.086
1572,118.086
1573,118.086
1574,118.086
1575,118.086
1576,118.086
1577,118.086
1578,118.086
1579,118.086
1580,118.086
1581,118.086
1582,118.086
1583,118.086
1584,118.086
1585,118.086
1586,118.086
1587,118.086
1588,118.086
1589,118.086
1590,118.086
1591,118.086
1592,118.086
1593,118.086
1594,118.086
1595,118.086
1596,117.662
1597,117.662
1598,117.662
1599,117.662
1600,117.662
1601,117.662
1602,117.662
1603,117.662
1604,117.662
1605,117.662
1606,117.662
1607,117.662
1608,117.662
1609,117.662
1610,117.662
1611,117.662
1612,117.789
1613,117.789
1614,117.789
1615,117.789
1616,117.789
1617,117.789
1618,117.789
1619,117.789
1620,117.789
1621,117.789
1622,117.789
1623,117.789
1624,117.789
1625,117.789
1626,117.789
1627,117.789
1628,117.789
1629,117.789
1630,117.789
1631,117.789
1632,117.789
1633,117.789
1634,117.789
1635,117.789
1636,117.789
1637,117.789
1638,117.726
1639,117.726
1640,117.726
1641,117.726
1642,117.726
1643,117.726
1644,117.726
1645,117.726
1646,117.726
1647,117.726
1648,117.726
1649,117.726
1650,117.726
1651,117.726
1652,117.726
1653,117.726
1654,117.726
1655,117.726
1656,117.726
1657,117.726
1658,117.726
1659,117.726
1660,117.726
1661,117.726
1662,117.726
1663,117.726
1664,117.726
1665,117.726
1666,117.561
1667,117.561
1668,117.561
1669,117.561
1670,117.674
1671,117.674
1672,117.674
1673,117.674
1674,117.674
1675,117.674
1676,117.674
1677,117.674
1678,117.528
1679,117.528
1680,117.528
1681,117.528
1682,117.528
1683,117.528
1684,117.528
1685,117.528
1686,117.528
1687,117.528
1688,117.528
1689,117.528
1690,117.528
1691,117.528
1692,117.528
1693,117.528
1694,117.528
1695,117.528
1696,117.528
1697,117.528
1698,116.532
1699,116.532
1700,116.433
1701,116.433
1702,116.433
1703,116.433
1704,116.433
1705,116.433
1706,116.433
1707,116.433
1708,116.433
1709,116.433
1710,116.433
1711,116.433
1712,116.433
1713,116.433
1714,116.433
1715,116.433
1716,116.433
1717,116.105
1718,116.105
1719,116.105
1720,116.105
1721,116.105
1722,116.105
1723,116.105
1724,116.105
1725,116.105
1726,116.105
1727,116.105
1728,116.105
1729,116.105
1730,116.105
1731,116.105
1732,116.105
1733,116.105
1734,116.105
1735,116.105
1736,116.105
1737,116.105
1738,116.105
1739,115.626
1740,115.626
1741,115.626
1742,115.626
1743,115.626
1744,115.626
1745,115.626
1746,115.626
1747,115.626
1748,115.626
1749,115.626
1750,115.626
1751,115.626
1752,115.626
1753,115.626
1754,115.626
