blocks,extractions,radius,error
367,7340000,4.999,0.00421092
368,7360000,4.99893,0.00420004
369,7380000,4.99877,0.00419147
370,7400000,4.99896,0.00418449
371,7420000,4.99913,0.00417638
372,7440000,4.99919,0.00416563
373,7460000,4.99912,0.00415506
374,7480000,4.99894,0.00414794
375,7500000,4.99937,0.00415992
376,7520000,4.99926,0.0041505
377,7540000,4.99922,0.00413961
378,7560000,4.99902,0.00413361
379,7580000,4.99896,0.00412317
380,7600000,4.999,0.00411247
381,7620000,4.99904,0.00410192
382,7640000,4.99903,0.00409118
383,7660000,4.99895,0.00408134
384,7680000,4.99906,0.00407229
385,7700000,4.99891,0.0040644
386,7720000,4.99867,0.00406096
387,7740000,4.99876,0.00405138
388,7760000,4.99924,0.00406966
389,7780000,4.99917,0.00405985
390,7800000,4.99908,0.00405046
391,7820000,4.99918,0.00404139
392,7840000,4.99899,0.00403547
393,7860000,4.99914,0.0040278
394,7880000,4.99923,0.00401861
395,7900000,4.99941,0.00401262
396,7920000,4.99927,0.00400497
397,7940000,4.99883,0.00401972
398,7960000,4.99875,0.0040103
399,7980000,4.99861,0.00400278
400,8000000,4.99887,0.00400125
401,8020000,4.99881,0.00399163
402,8040000,4.9985,0.00399394
403,8060000,4.99831,0.00398842
404,8080000,4.99827,0.00397877
405,8100000,4.99839,0.00397075
406,8120000,4.99806,0.00397494
407,8140000,4.99826,0.00397056
408,8160000,4.99864,0.00397819
409,8180000,4.99863,0.00396846
410,8200000,4.99867,0.00395901
411,8220000,4.99856,0.00395091
412,8240000,4.99876,0.00394628
413,8260000,4.99872,0.00393692
414,8280000,4.99872,0.0039274
415,8300000,4.99894,0.00392417
416,8320000,4.99902,0.0039154
417,8340000,4.99876,0.00391451
418,8360000,4.99881,0.00390542
419,8380000,4.99878,0.00389618
420,8400000,4.9989,0.00388872
421,8420000,4.99861,0.00389032
422,8440000,4.99844,0.00388471
423,8460000,4.99857,0.00387779
424,8480000,4.99867,0.00386988
425,8500000,4.9986,0.00386148
426,8520000,4.99861,0.00385245
427,8540000,4.99799,0.00389409
428,8560000,4.99789,0.00388636
429,8580000,4.99791,0.00387736
430,8600000,4.99818,0.00387781
431,8620000,4.99807,0.00387038
432,8640000,4.99774,0.00387595
433,8660000,4.9978,0.00386751
434,8680000,4.99765,0.0038615
435,8700000,4.9977,0.00385291
436,8720000,4.99757,0.00384604
437,8740000,4.99769,0.00383888
438,8760000,4.99805,0.00384762
439,8780000,4.99834,0.00384956
440,8800000,4.99852,0.00384521
441,8820000,4.99887,0.00385178
442,8840000,4.99888,0.00384307
443,8860000,4.99882,0.00383488
444,8880000,4.99853,0.00383676
445,8900000,4.9985,0.00382823
446,8920000,4.99818,0.00383334
447,8940000,4.99823,0.00382508
448,8960000,4.99825,0.00381659
449,8980000,4.99832,0.00380868
450,9000000,4.99802,0.00381196
451,9020000,4.99795,0.00380404
452,9040000,4.998,0.00379583
453,9060000,4.99785,0.0037902
454,9080000,4.99789,0.00378203
455,9100000,4.9981,0.00377957
456,9120000,4.9982,0.00377264
457,9140000,4.99812,0.00376527
458,9160000,4.99783,0.00376818
459,9180000,4.9979,0.00376064
460,9200000,4.99778,0.00375448
461,9220000,4.99781,0.0037465
462,9240000,4.99786,0.00373865
463,9260000,4.99776,0.00373179
464,9280000,4.99781,0.00372407
465,9300000,4.99805,0.00372375
466,9320000,4.9979,0.00371884
467,9340000,4.99802,0.00371272
468,9360000,4.99812,0.00370613
469,9380000,4.99821,0.00369948
470,9400000,4.998,0.00369783
471,9420000,4.998,0.00368997
472,9440000,4.99804,0.00368244
473,9460000,4.99823,0.00367926
474,9480000,4.99796,0.00368144
475,9500000,4.99803,0.00367448
476,9520000,4.99813,0.00366805
477,9540000,4.9981,0.00366046
478,9560000,4.99838,0.00366311
479,9580000,4.99857,0.0036607
480,9600000,4.99862,0.00365337
481,9620000,4.99868,0.00364632
482,9640000,4.99866,0.00363882
483,9660000,4.99867,0.00363128
484,9680000,4.99844,0.00363103
485,9700000,4.99828,0.00362705
486,9720000,4.99824,0.00361978
487,9740000,4.9984,0.00361605
488,9760000,4.99848,0.00360952
489,9780000,4.99862,0.00360456
490,9800000,4.99857,0.0035975
491,9820000,4.99874,0.00359421
492,9840000,4.99855,0.00359216
493,9860000,4.99879,0.00359317
494,9880000,4.99891,0.00358777
495,9900000,4.99916,0.0035896
496,9920000,4.99909,0.00358307
497,9940000,4.99934,0.00358454
498,9960000,4.9995,0.00358106
499,9980000,4.99955,0.00357417
500,10000000,4.99954,0.00356702
