blocks,extractions,radius,error
332,6640000,5.00393,0.00806321
333,6660000,5.00438,0.00805142
334,6680000,5.00424,0.00802836
335,6700000,5.00387,0.00801302
336,6720000,5.00361,0.00799338
337,6740000,5.00331,0.00797514
338,6760000,5.00327,0.00795166
339,6780000,5.00307,0.00793054
340,6800000,5.00235,0.00793963
341,6820000,5.0023,0.00791649
342,6840000,5.002,0.00789893
343,6860000,5.0017,0.00788153
344,6880000,5.00185,0.00785996
345,6900000,5.00199,0.00783842
346,6920000,5.00186,0.00781693
347,6940000,5.00147,0.0078042
348,6960000,5.00132,0.00778309
349,6980000,5.00152,0.00776328
350,7000000,5.00138,0.0077423
351,7020000,5.00144,0.00772046
352,7040000,5.00171,0.00770328
353,7060000,5.00127,0.00769406
354,7080000,5.00153,0.00767651
355,7100000,5.0017,0.0076569
356,7120000,5.0016,0.00763602
357,7140000,5.00142,0.00761686
358,7160000,5.00134,0.00759595
359,7180000,5.00117,0.00757679
360,7200000,5.00093,0.00755954
361,7220000,5.00051,0.00755027
362,7240000,5.00137,0.00757904
363,7260000,5.00136,0.00755815
364,7280000,5.00134,0.00753737
365,7300000,5.00121,0.00751791
366,7320000,5.0013,0.00749793
367,7340000,5.00128,0.0074775
368,7360000,5.00107,0.00746013
369,7380000,5.00126,0.00744239
370,7400000,5.00117,0.00742278
371,7420000,5.00098,0.00740517
372,7440000,5.00081,0.00738714
373,7460000,5.00063,0.0073695
374,7480000,5.00036,0.0073549
375,7500000,4.99999,0.00734455
376,7520000,4.99993,0.00732522
377,7540000,5.00003,0.00730644
378,7560000,5.00003,0.00728708
379,7580000,4.99986,0.00726995
380,7600000,4.99993,0.00725113
381,7620000,4.99984,0.0072326
382,7640000,4.99968,0.00721536
383,7660000,4.99972,0.00719662
384,7680000,4.99969,0.00717796
385,7700000,4.99986,0.00716132
386,7720000,5,0.00714417
387,7740000,5.00007,0.00712603
388,7760000,5.00019,0.00710866
389,7780000,4.99978,0.00710195
390,7800000,5.00002,0.00708764
391,7820000,5.0001,0.00706993
392,7840000,5.00013,0.00705193
393,7860000,5.00017,0.00703411
394,7880000,5.00018,0.00701624
395,7900000,5.00042,0.00700264
396,7920000,5.00029,0.00698613
397,7940000,5.00017,0.0069695
398,7960000,4.99993,0.00695632
399,7980000,4.99982,0.00693973
400,8000000,4.99992,0.00692309
401,8020000,4.9998,0.00690686
402,8040000,4.99993,0.00689085
403,8060000,4.99992,0.00687373
404,8080000,5.00001,0.00685728
405,8100000,4.99973,0.00684589
406,8120000,4.99986,0.00683018
407,8140000,5.00016,0.00681974
408,8160000,4.99976,0.00681468
409,8180000,4.9996,0.00679989
410,8200000,4.99978,0.00678584
411,8220000,5.00027,0.00678682
412,8240000,5.00049,0.00677392
413,8260000,5.0004,0.00675808
414,8280000,5.00058,0.00674419
415,8300000,5.00036,0.00673156
416,8320000,5.00079,0.00672883
417,8340000,5.00067,0.00671372
418,8360000,5.00057,0.00669845
419,8380000,5.00027,0.00668908
420,8400000,4.99982,0.00668789
421,8420000,4.99953,0.00667868
422,8440000,4.99952,0.00666284
423,8460000,4.99955,0.00664714
424,8480000,4.99971,0.0066333
425,8500000,4.99961,0.00661844
426,8520000,4.99986,0.00660766
427,8540000,5,0.00659373
428,8560000,5,0.00657831
429,8580000,5.00001,0.00656297
430,8600000,4.99989,0.00654886
431,8620000,4.99983,0.0065339
432,8640000,4.99953,0.00652567
433,8660000,4.99941,0.00651167
434,8680000,4.99939,0.00649669
435,8700000,4.9993,0.00648236
436,8720000,4.99929,0.00646749
437,8740000,4.99935,0.00645296
438,8760000,4.99925,0.0064389
439,8780000,4.99911,0.00642585
440,8800000,4.99874,0.00642186
441,8820000,4.99876,0.00640732
442,8840000,4.9987,0.00639309
443,8860000,4.99849,0.00638227
444,8880000,4.99869,0.00637127
445,8900000,4.99868,0.00635696
446,8920000,4.99885,0.00634494
447,8940000,4.99872,0.00633196
448,8960000,4.99891,0.00632054
449,8980000,4.99873,0.00630891
450,9000000,4.99831,0.00630896
451,9020000,4.99811,0.00629821
452,9040000,4.99829,0.00628683
453,9060000,4.99826,0.00627301
454,9080000,4.99826,0.00625918
455,9100000,4.99825,0.00624543
456,9120000,4.9981,0.00623351
457,9140000,4.99796,0.0062214
458,9160000,4.99794,0.00620783
459,9180000,4.99784,0.00619513
460,9200000,4.99776,0.00618214
461,9220000,4.99762,0.00617029
462,9240000,4.99759,0.00615701
463,9260000,4.99741,0.00614618
464,9280000,4.99778,0.00614387
465,9300000,4.99757,0.00613413
466,9320000,4.99756,0.00612098
467,9340000,4.99743,0.00610925
